地区,国家预算内资金,国内贷款,利用外资,自筹资金,其他投资,中央项目,地方项目
北京,65.14,39.28,31.64,133.39,21.27,175.23,96.03
天津,4.69,36.44,41.27,54.39,7.61,52.30,108.80
河北,13.86,41.76,39.38,148.50,43.62,84.82,206.17
山西,5.95,40.08,10.53,67.39,10.99,49.98,80.21
内蒙古,9.69,40.85,13.16,43.25,11.13,61.78,60.01
辽宁,17.43,70.42,58.31,120.09,43.71,131.44,193.44
吉林,3.41,37.66,43.25,45.82,15.95,51.65,106.51
黑龙江,13.87,38.79,20.78,87.78,28.01,95.68,103.02
上海,14.12,68.19,66.42,295.61,83.28,173.85,378.01
江苏,17.39,52.38,37.99,199.90,35.28,82.43,260.62
浙江,6.69,44.04,37.40,185.47,40.30,58.93,247.32
安徽,14.17,57.18,17.11,63.42,16.63,69.07,100.96
福建,7.25,42.25,30.14,83.47,31.63,39.64,174.37
江西,10.62,18.26,11.11,42.98,13.48,30.82,70.90
山东,16.11,85.86,63.08,171.21,31.12,125.51,244.49
河南,27.87,78.40,59.12,122.91,36.08,112.57,206.91
湖北,44.13,98.14,56.35,142.10,18.34,188.38,165.36
湖南,10.99,41.94,15.41,97.64,23.29,79.56,122.50
广东,17.48,118.43,203.76,411.60,84.20,228.82,665.31
广西,6.97,43.53,13.90,65.34,23.85,43.58,113.52
海南,3.47,22.00,41.07,51.49,12.20,13.44,110.87
四川,26.80,102.37,33.89,131.51,39.70,134.80,215.32
贵州,3.99,26.46,3.01,26.34,5.70,22.94,42.79
云南,9.27,29.72,11.12,80.12,13.02,28.18,119.61
西藏,21.39,1.24,0.07,6.08,2.09,1.80,29.38
陕西,18.79,33.66,2.51,51.15,13.48,56.01,64.75
甘肃,6.21,26.89,4.44,18.14,5.44,34.23,28.39
青海,2.97,14.99,0.32,8.42,3.36,17.62,14.22
宁夏,2.27,8.59,1.52,8.54,3.87,9.78,16.97
新疆,7.71,53.85,24.28,76.66,18.40,117.90,64.30
不分地区,61.00,232.58,63.09,81.16,162.94,597.93,21.91
