地区,国家预算内资金,国内贷款,利用外资,自筹资金,其他投资,中央项目,地方项目
北京,128.88,36.42,14.58,201.87,31.13,161.82,225.46
天津,12.84,79.86,63.03,132.85,10.08,109.49,199.89
河北,51.85,113.89,13.16,295.85,98.68,130.31,461.57
山西,31.30,108.83,13.83,106.76,45.74,94.52,234.61
内蒙古,40.72,67.35,20.65,78.77,39.92,36.90,231.92
辽宁,93.30,119.46,25.94,183.95,37.04,144.39,346.42
吉林,30.30,55.76,15.48,137.49,61.32,81.82,236.11
黑龙江,57.44,92.22,8.32,218.80,73.00,148.44,333.45
上海,42.50,206.26,107.06,307.21,51.35,126.06,584.47
江苏,57.42,161.70,58.03,488.93,49.76,151.63,687.38
浙江,67.82,291.67,62.40,457.50,65.59,185.19,794.01
安徽,57.17,76.14,15.85,146.16,38.49,47.29,300.46
福建,38.63,105.57,45.23,133.99,31.57,39.70,324.43
江西,37.96,53.20,12.08,82.02,24.12,57.26,170.97
山东,50.99,163.97,56.49,437.63,87.64,201.02,637.38
河南,66.43,153.13,40.08,275.49,84.77,166.90,466.48
湖北,134.58,158.92,18.96,246.46,95.27,249.87,416.76
湖南,49.94,108.66,13.44,180.99,41.15,88.83,351.54
广东,34.32,219.85,159.39,661.67,61.39,148.09,1057.25
广西,49.83,74.00,5.43,137.73,30.49,70.93,236.62
海南,16.82,15.20,20.58,57.12,16.64,27.14,104.00
重庆,64.37,65.85,2.90,93.45,39.46,32.20,231.58
四川,54.72,174.01,22.56,322.38,87.93,135.89,558.23
贵州,27.48,92.52,4.65,85.43,14.43,73.40,162.14
云南,46.20,100.11,11.10,137.38,27.41,88.89,259.27
西藏,43.94,4.58,　,17.01,6.96,63.84,7.88
陕西,56.91,92.61,10.77,146.33,52.71,66.79,305.62
甘肃,47.56,61.75,3.13,65.63,43.17,65.04,163.58
青海,26.39,33.35,1.22,37.29,20.26,45.17,87.31
宁夏,24.88,36.51,1.89,22.94,8.46,25.71,75.92
新疆,42.69,79.74,4.83,203.10,48.01,236.85,163.41
不分地区466.11,434.06,45.08,130.88,19.12,1098.09,4.53
